Katelyn Christian,32,Cork Floor Installer,Amanah Tait,44,Timber Faller,8
Sonnie Holland,52,Staff Readiness Officer (Amphibious Warfare),Pedro Dickinson,26,Aluminum Welder,6
Pedro Dickinson,26,Aluminum Welder,Mira Daly,41,Ring Polisher,6
Mali Giles,33,Aquarium Tank Attendant,Artur Ponce,55,Softball Player,3
Artur Ponce,55,Softball Player,Rhonda O'Ryan,50,Commercial Baker Helper,3
Kingsley Hurst,51,Fresco Artist,Artur Ponce,55,Softball Player,5
Duncan Kouma,42,Mine Geologist,Lilian Torres,55,Drywall Stripper Helper,3
Ananya Huff,42,Air Traffic Controller,Duncan Kouma,42,Mine Geologist,2
Duncan Kouma,42,Mine Geologist,Ananya Huff,42,Air Traffic Controller,2
Massimo Ali,25,Topology Professor,Duncan Kouma,42,Mine Geologist,7
Lilly Reynolds,38,Market Research Interviewer,Siena Cunningham,49,Screen Printing Machine Operator,7
Beauden Plant,45,Mathematical Engineering Technician,Lilly Reynolds,38,Market Research Interviewer,8
Lilly Reynolds,38,Market Research Interviewer,Umaiza Boyer,26,Health Insurance Adjuster,2
Kezia Hayden,31,Trumpeter,Lilly Reynolds,38,Market Research Interviewer,5
Lilly Reynolds,38,Market Research Interviewer,Dawson Redman,35,Aoc Aadc Operations Staff Officer,6
Aleisha Hutchinson,26,Electronic Intelligence Officer,Jemimah Cervantes,53,Traffic Sergeant,4
Jemimah Cervantes,53,Traffic Sergeant,Amanah Tait,44,Timber Faller,1
Reginald Moon,45,Metal Patternmaker,Jemimah Cervantes,53,Traffic Sergeant,4
Jemimah Cervantes,53,Traffic Sergeant,Naeem Malone,57,Portrait Painter,5
Zakariyya Tillman,27,Orthodontic Assistant,Jemimah Cervantes,53,Traffic Sergeant,5
Jemimah Cervantes,53,Traffic Sergeant,Rico Graves,57,Soil Scientist,5
Lilian Torres,55,Drywall Stripper Helper,Augustus Sharples,24,Oyster Buyer,7
Augustus Sharples,24,Oyster Buyer,Diane Mclellan,55,Cotton Ginner,8
